병원명,기관구분,주소,지역,위도,경도,전화번호
글로리병원,중독관리통합지원센터,인천광역시 부평구 마장로 410번길 5 청천2동주민센터 3층,인천,37.51487345,126.7045398,032-262-9000
금촌혜민의집,정신재활시설,"경기도 파주시 조리읍 송비말길 22, 성원아파트 102동 703호",경기,37.74223964,126.8060845,NOT_FOUND
기독성심원,정신요양시설,충청남도 천안시 동남구 성남면 성심원길 124,충청남도,36.75394446,127.2457911,
기쁜우리사회 복귀시설,정신재활시설,부산광역시 영도구 함지로 33-10,부산,35.07221629,129.0617504,051-403-4388
기쁨해,정신재활시설,경기도 고양시 덕양구 고양대로 1395번길 76 3층,경기,37.65703034,126.8414108,043-235-6475
길벗 ,정신재활시설,"경기도 화성시 병점로 17-7, 201호(진안동)",경기,37.20938354,127.0364329,031-287-9127
길벗둥지,정신재활시설,"서울특별시 동대문구 서울시립대로 18길 36, 1층",서울,37.5799944,127.0532936,070-8180-7224
길병원,광역정신건강복지센터,인천광역시 남동구 남동대로 774번길 24,인천,37.45103928,126.7094099,1577-2299
길정신건강센터,정신재활시설,제주특별자치도 제주시 한림읍 한림뱅디길 88-17,제주,33.40536579,126.2791345,064-796-7003
길정의료재단 대남병원,기초정신건강복지센터,"부산광역시 사상구 가야대로 196번길 51, 3층 다누림센터",부산,35.14738137,128.995023,051-324-2227
김천시 정신건강복지센터,기초정신건강복지센터,경상북도 김천시 체육공원길 21 3층,경상북도,36.11973266,128.1445272,054-433-4005
김포한누리병원,기초정신건강복지센터,인천광역시 강화군 강화읍 충렬사로 26-1,인천,37.7372942,126.4848586,031-981-3000
꽃동네 정신요양원,정신요양시설,충청북도 음성군 맹동면 꽃동네길 22,충청북도,36.94026588,127.5764385,031-589-0210
꽃동네치료공동체,정신재활시설,세종특별자치시 부강면 노호등곡1로 237번지,세종,36.51252485,127.3995554,044-269-3948
꽃피는집,정신재활시설,대전광역시 중구 테미로 8(대흥동),대전,36.31914683,127.4201403,010-3006-9691
꿈꾸는달팽이,정신재활시설,"서울특별시 구로구 디지털로 26길 110, 동일테크노타운 2차 302호",서울,37.4820342,126.8977072,02-855-9135
꿈꾸는집,정신재활시설,"서울특별시 관악구 당곡6길 65, 201호",서울,37.49293589,126.9307761,
꿈의둥지,정신재활시설,"인천광역시 미추홀구 소성로 318번길 18-16, 현빌리지 301호,302호",인천,,,
꿈이있는사람들,정신재활시설,대구광역시 달성군 화원읍 비슬로 523길 3-26,대구,35.80538778,128.5014359,070-4210-8291
꿈이있는집,정신재활시설,전라북도 전주시 덕진구 아중1길 23-3 퓨처빌B 402호,전라북도,35.82928829,127.1719035,061-271-9227
꿈터,정신재활시설,"경기도 성남시 분당구 느티로 51번길16-9, 1층",경기,37.37021983,127.1110376,
낑알이공동체,정신재활시설,경상북도 영천시 교촌동서길14,경상북도,35.96825353,128.9286879,NOT_FOUND
낑알이공동체 2호,정신재활시설,경상북도 영천시 교촌동서길14,경상북도,35.96825353,128.9286879,NOT_FOUND
낑알이공동체 3호,정신재활시설,경상북도 영천시 쌍계길 104,경상북도,35.9625602,128.9057031,NOT_FOUND
나눔터,정신재활시설,"서울특별시 성북구 석관동 133-44, 태영빌딩 501호",서울,37.61307377,127.065279,
나무 ,정신재활시설,"경기도 평택시 평택 4로 39, 6층",경기,36.99159329,127.1000627,043-732-1439
나비의꿈,정신재활시설,충청남도 천안시 서북구 두정중 11길 26. 5층 마천루빌딩,충청남도,36.83768401,127.1411877,063-582-7651
나사렛대학교 산학협력단,중독관리통합지원센터,충청남도 천안시 동남구 버들로 40 1층,충청남도,36.80717777,127.1514571,041-570-7700
남동정신재활시설 그루터기,정신재활시설,인천광역시 남동구 담방서로 23번길 17,인천,37.44724218,126.7364002,NOT_FOUND
남양집 ,정신재활시설,"경기도 화성시 동탄면 금곡로 68-6, 101호",경기,37.16678401,127.0789389,063-284-1912
남원시 정신건강복지센터,기초정신건강복지센터,전라북도 남원시 동문로 42-1(남원농협 동문지점 2층),전라북도,35.40939604,127.3862753,063-625-4122
남자담쟁이,정신재활시설,"경기도 성남시 중원구 자혜로 8번길 59-5호, 1층",경기,37.44556066,127.1585298,NOT_FOUND
남해군 정신건강복지센터,기초정신건강복지센터,경상남도 남해군 남해읍 선소로 6,경상남도,34.84474988,127.8987857,055-860-8785
내동화세상,정신재활시설,서울특별시 도봉구 도봉산 3길 17-16,서울,37.6864252,127.0441902,
내마음까페,정신재활시설,"충청남도 서산시 지곡면 충의로 762-78, 늘푸른오스카빌 102동 1005호",충청남도,36.84281145,126.4485225,0507-1344-5917
네잎클로버,정신재활시설,경기도 수원시 팔달구 월드컵로 321번길34-20 나동 2층 301호,경기,37.28664929,127.0320337,063-221-4120
노원구 정신건강복지센터,기초정신건강복지센터,"서울특별시 노원구 노해로 455, 인산빌딩 5층",서울,37.65417505,127.0585205,02-933-4591
노원아이존,정신재활시설,"서울특별시 노원구 한글비석로 326, 3층",서울,37.65652305,127.078327,NOT_FOUND
노원희망공간이룸,정신재활시설,"서울특별시 노원구 한글비석로 422, 2층(상계동)",서울,37.66202644,127.0702996,02-939-4200
노정신건강의학과의원,기초정신건강복지센터,서울특별시 마포구 성산로4길 15 3층,서울,37.56336849,126.9078957,02-365-8558
논산시 정신건강복지센터,기초정신건강복지센터,충청남도 논산시 논산대로382,충청남도,36.19607739,127.1035647,041-746-8121
논산정신요양원,정신요양시설,충청남도 논산시 상월면 월오1길 54,충청남도,36.30485106,127.1282027,
누리봄,정신재활시설,서울특별시 광진구 용마산로 25길 10,서울,37.56676993,127.0858887,010-3131-2868
늘푸른집,정신재활시설,서울특별시 도봉구 시루봉로 295-3,서울,37.67155073,127.0418122,02-2038-2165
늘푸른집,정신재활시설,세종특별자치시 연서면 효교로 135-22,세종,36.57202749,127.237946,02-2038-2165
늘푸름,정신재활시설,경기도 오산시 은여울로 59,경기,37.15959976,127.0726454,061-285-2244
닛시복지마을,정신재활시설,충청북도 괴산군 문광면 흑석2길 20-148,충청북도,36.74869691,127.8236665,043-833-7549
다솜,정신재활시설,서울특별시 구로구 고척로 10길 9-5,서울,37.4989017,126.8418219,
다솜,정신재활시설,대전광역시 유성구 은구비남로 55 ,대전,36.37342411,127.3209129,
다온집,정신재활시설,경기도 안양시 만안구 양화로106번길 8402호,경기,,,010-2277-7501
다옴공동체,정신재활시설,대전광역시 유성구 원내로 9-8,대전,36.29969597,127.3171671,042-545-6567
다우리공동생활가정,정신재활시설,충청남도 천안시 동남구 고재15길 19-4,충청남도,36.80144461,127.161271,041-622-3651
다원공동체,정신재활시설,대전광역시 유성구 진잠옛로 135번길 115,대전,,,NOT_FOUND
다정다감 ,정신재활시설,"경기도 평택시 점촌1로 6번길 60, 신성공원빌라 302호(서정동)",경기,37.06100175,127.0577358,010-6230-2034
다정이네,정신재활시설,"서울특별시 종로구 세검정로 7가길 18, 301호",서울,37.60237229,126.9589815,010-2792-9140
다함정신건강 상담센터,정신재활시설,"서울특별시 성북구 보문로34길 39, 4층",서울,37.59076885,127.0174579,02-926-2172
단국대학교 의과대학 부속병원,기초정신건강복지센터,경기도 안성시 강변로 74번길 18 안성시보건소 4층,경기,37.00016961,127.2698131,1588-0063
단양군 정신건강복지센터,기초정신건강복지센터,충청북도 단양군 단양읍 삼봉로 53,충청북도,36.9815125,128.350242,043-420-3243
달구벌정신 건강센터,정신재활시설,"대구광역시 동구 신성로 63, 3층(신암동)",대구,35.88045016,128.6133638,053-941-8816
달성정신재활센터 해피하우스,정신재활시설,"대구광역시 달성군 화원읍 성화로 20, 2층",대구,35.80088137,128.4905856,053-638-7009
달팽이의 꿈,정신재활시설,경기도 안성시 금광면 배티로 702-16,경기,36.97794644,127.3088146,031-676-1060
담양군 정신건강복지센터,기초정신건강복지센터,전라남도 담양군 담양읍 완동길 10-11,전라남도,35.32502795,126.9812397,061-380-2972
담쟁이,정신재활시설,경기도 성남시 중원구 자혜로 16번길 45-6 202호 럭키아트빌,경기,37.44644845,127.159852,02-797-9288
당진시 정신건강복지센터,기초정신건강복지센터,충청남도 당진시 서부로 56,충청남도,36.88735969,126.6304725,041-352-4071
대구가톨릭 사회복지회,중독관리통합지원센터,대구광역시 달서구 학산로 50 ,대구,35.82888651,128.534465,053-253-9991
대구가톨릭 사회복지회,중독관리통합지원센터,경상북도 구미시 검성로 115-1,경상북도,36.11827362,128.429909,053-253-9991
대구가톨릭대학교,기초정신건강복지센터,"대구광역시 동구 동촌로79, 동구보건소4층 ",대구,35.88812209,128.6512166,053-660-5100
대구가톨릭대학교의료원,광역정신건강복지센터,대구광역시 남구 두류공원로 17길 대구가톨릭대학교병원 내 라파엘관 5층,대구,,,053-710-2785
대구광역시립희망원 아름마을,정신요양시설,대구광역시 달성군 화원읍 명천로 58,대구,35.80383523,128.5095826,NOT_FOUND
대구광역자살예방센터,자살예방센터,대구광역시 남구 두류공원로 17길 33 대구가톨릭대학교병원 라파엘관 5층,대구,35.84418911,128.5658257,053-256-0199
대구대학교 정신건강상담센터,정신재활시설,경상북도 경산시 진량읍 대구대로 201 대구대학교 경산캠퍼스 조형예술대학 3호관 1층,경상북도,35.90453897,128.8428133,053-425-0425
대구위니스,정신재활시설,대구광역시 북구 옥산로 49 상미빌딩 3층,대구,35.88564045,128.5812584,NOT_FOUND
대구의료원,기초정신건강복지센터,대구광역시 서구 북비산로71길7 2층,대구,35.88016148,128.5723999,053-560-7575
대구재활센터,정신재활시설,대구광역시 달서구 성서공단북로 124,대구,35.84419525,128.4861927,053-582-5827
대구정신병원,기초정신건강복지센터,대구광역시 달서구 학산로 50 월성문화관 내,대구,35.82888651,128.534465,053-630-3000
대구정신장애인 종합재활센터 미래엔미소클럽,정신재활시설,"대구광역시 서구 옥산로 6길 9, 4층",대구,35.88572216,128.5788843,NOT_FOUND
대길엘림,정신재활시설,"서울특별시 금천구 시흥대로 54길 19, 301호",서울,37.45234829,126.9027914,02-802-9910
대길푸른초장,정신재활시설,서울특별시 영등포구 영등포로 84길 4-14,서울,,,
대성그린빌,정신요양시설,경상북도 안동시 임하면 진사리길 14,경상북도,36.4808687,128.8296476,054-822-8870
대성재활센터,정신재활시설,경상북도 안동시 임하면 고곡길260,경상북도,36.48598027,128.8388785,
대원대학교 산학협력단,기초정신건강복지센터,충청북도 제천시 의림대로242 보건복지센터 3층,충청북도,37.1493417,128.2160865,
대전 중구정신건강복지센터,기초정신건강복지센터,대전광역시 중구 수도산로 15(대흥동),대전,36.32035508,127.4258845,
대전광역시립정신병원,기초정신건강복지센터,"대전광역시 유성구 유성대로 730번길 51, 2층",대전,36.3581193,127.3354123,042-823-9101
대전정신요양원,정신요양시설,대전광역시 동구 옥천로 315(삼정동),대전,36.32348165,127.4701198,042-284-6604
대한예수교장로회 대전노회유지재단,중독관리통합지원센터,대전광역시 서구 신갈마로 209번길 25 2층,대전,36.35215719,127.3670903,NOT_FOUND
더숲,정신재활시설,경기도 수원시 영통구 권광로 290번길 34-5,경기,37.27357481,127.0385173,041-753-9800
더하임,정신재활시설,충청남도 금산군 부리면 무금로 1425,충청남도,36.04885965,127.5596318,
도담,정신재활시설,"서울특별시 동대문구 사가정로 258, 4층",서울,37.5790999,127.073572,02-523-8886
도담도담,정신재활시설,경기도 수원시 영통구 영통로 130번길 45 102호,경기,37.23983185,127.058454,0507-1433-0771
도란도란,정신재활시설,"대전광역시 유성구 송강로 15, 104동 202호",대전,36.43230774,127.3846542,010-2525-1099
도래샘,정신재활시설,충청남도 공주시 큰우물길 3-1,충청남도,36.44586758,127.1240445,031-429-6120
도봉구 정신건강복지센터,기초정신건강복지센터,"서울특별시 도봉구 방학로3길 117, 1층",서울,37.65793243,127.0388203,02-2091-5224
도봉구정신건강복지센터(부설),자살예방센터,"서울특별시 도봉구 방학로3길 117, 1층",서울,37.65793243,127.0388203,02-2091-5224
돌봄사랑채,정신재활시설,서울특별시 광진구 아차산로 26길 28,서울,37.54025751,127.0653959,02-3409-9444
동광임파워먼트센터,정신재활시설,경기도 부천시 원미구 부일로 191번길 30 동성프라자 701/702호,경기,37.48999836,126.751575,032-323-3206
동국대학교경주병원,광역정신건강복지센터,"경상북도 경주시 동대로 87, 복지동3층",경상북도,35.85850364,129.1928772,054-748-9300
동국대학교일산병원,기초정신건강복지센터,경기도 파주시 봉천로 68 파주건강증진센터 1층,경기,37.74507907,126.8050112,1577-7000
동그라미,정신재활시설,"서울특별시 광진구 능동로 43길 30-11, 202호",서울,37.5620131,127.080159,031-354-9938
동그라미,정신재활시설,경기도 안성시 금광면 배티로 702-16,경기,36.97794644,127.3088146,031-354-9938
동대문아이존,정신재활시설,서울특별시 동대문구 답십리로 63길 73 형제빌딩 2층,서울,37.57581318,127.0689053,
동두천요양원,정신요양시설,경기도 동두천시 평화로 3208번길 43-15,경기,37.97388427,127.068871,031-867-9820
동래직업재활센터,정신재활시설,"부산광역시 금정구 중앙대로 2093, 10층",부산,35.27115241,129.0923547,051-581-4165
동산의료원,기초정신건강복지센터,대구광역시 달성군 옥포읍 비슬로 458길 6-2 3층,대구,35.78953971,128.4712812,053-250-8114
동아대학교병원,광역정신건강복지센터,부산광역시 남구 수영로 299 루미너스타원 12층 ,부산,35.13715703,129.0988652,051-240-2000
동아메디병원,기초정신건강복지센터,대구광역시 수성구 수성로 213,대구,35.84495927,128.6119385,053-780-3000
동영의료재단 상록병원,기초정신건강복지센터,부산광역시 동래구 명륜로 187번길 56 동래구보건소 4층,부산,35.21141256,129.0798533,051-555-8009
동작구 정신건강복지센터,기초정신건강복지센터,서울특별시 동작구 남부순환로 2025,서울,37.47643044,126.9736224,02-820-4072
동작아이존,정신재활시설,서울특별시 동작구 국사봉길 109,서울,37.49548953,126.9321802,02-817-5443
동해동인병원,기초정신건강복지센터,강원도 동해시 청운로 96(쇄운동) 1층,강원,37.48854797,129.1026904,033-530-0114
동해동인병원,기초정신건강복지센터,강원도 삼척시 척주로 76,강원,37.44393348,129.1720893,033-530-0114
동해동인병원,기초정신건강복지센터,"강원도 태백시 태백로 905(황지동,보건소)",강원,37.17660158,128.992496,033-530-0114
동행,정신재활시설,대전광역시 중구 유천로 48번길 31(유천동),대전,36.31755413,127.3996295,1588-6450
동행,정신재활시설,전라북도 임실군 임실읍 호국로 1716-15,전라북도,35.61447882,127.2899891,1588-6450
두드림마음건강센터,정신재활시설,"서울특별시 양천구 등촌로 194, 4층",서울,37.54703351,126.8631921,02-2645-1941
두온,정신재활시설,경기도 용인시 기흥구 상갈로23번길 2 204호,경기,37.2687593,127.1073713,02-994-5100
둥근나래꿈 남성홈,정신재활시설,"전라북도 익산시 목천로 229, 3층",전라북도,35.93042416,126.9467599,NOT_FOUND
둥근나래꿈 여성홈,정신재활시설,"전라북도 익산시 목천로 229, 3층",전라북도,35.93042416,126.9467599,070-4099-3934
둥근마음,정신재활시설,전라북도 익산시 목천로 229,전라북도,35.93042416,126.9467599,063-841-6446
드림빌1,정신재활시설,대구광역시 남구 중앙대로26길 13 하이디빌 301호,대구,35.84598853,128.5920524,
드림빌2,정신재활시설,대구광역시 남구 중앙대로26길 13 하이디빌 201호,대구,35.84598853,128.5920524,
드림하우스(구 사랑마을),정신재활시설,서울특별시 중랑구 망우로74가길 9,서울,37.59859133,127.1047097,
